VoLL,Effectiveness,DiscountRate,k_star,NPV_star
3846.5453838526864,0.7521550300600197,0.09854914325514094,9738,3737608467.6947756
6349.852323926516,0.7095234854421801,0.08946929976606732,11046,5174046302.052108
7650.705943350095,0.8719901388434087,0.08011551793906507,12608,8586513961.9896755
3749.1252320860494,0.8911039044324391,0.07709362743270978,11344,5398446406.5228
4503.775490309034,0.7348218219624147,0.07112764309423802,10618,4546886052.252404
3848.5766269868623,0.8038048686419081,0.06324778197667708,10984,4922247073.782888
6323.216062437266,0.94736716205608,0.10303556486352651,12361,7666047671.330065
5097.350489289174,0.7730993101465815,0.08983771703203744,10973,4995747665.084982
7490.779189270318,0.922410121991664,0.09850646817237321,12601,8546820263.441595
4873.53802616181,0.7528980584617105,0.061947958188412505,11135,5225884545.252364
7966.2634942047225,0.7492094763351612,0.10898704902503206,11725,6332518507.43803
6890.519147031835,0.8688400046990584,0.11389817976228055,12037,6906650517.353943
7578.841959108435,0.9556797787448339,0.061239468902408854,13055,10411749173.312712
4643.806050614464,0.8466801802153303,0.07764452914314768,11502,5706065949.989035
3503.3851036888304,0.9543970046714321,0.07038862476017321,11731,5958105492.967098
4586.612255593875,0.9330518960900266,0.07382180927279282,12062,6698102226.012119
7069.314217745474,0.7351924390803115,0.10404869904049434,11344,5650052592.45038
4821.896061236278,0.7804250095122361,0.09144845699724781,10862,4834612007.3601055
4537.849666415529,0.8931721476963359,0.10012305758261014,11404,5571089152.979813
7464.7632864559455,0.7959089253833045,0.1152316625653641,11792,6417160031.775404
7929.133001329914,0.8704464820461925,0.07585887960842168,12724,8956652631.938026
7799.320973040724,0.9418357726697835,0.08949941429256827,12840,9395938659.481138
6395.791585267134,0.9507088598074294,0.07057801601777614,12741,8792010290.128489
3599.6532795562675,0.8559547717078684,0.08132277121729112,10929,4834776543.919512
3970.1224363527244,0.8216340180760177,0.08505407696158446,10806,4728652030.856999
5456.627928311649,0.8669981162426911,0.08543579986850933,11885,6434127050.481895
7142.553352330903,0.7160336410478065,0.11687939489350466,11021,5184417021.460609
3578.654388486388,0.710855732784063,0.11723313949137087,8502,2942868065.942727
7305.646508802598,0.9878069367365621,0.11964019445341705,12613,8566474506.091475
5925.6983380015845,0.8646048442423888,0.06822303455040774,12243,7298924798.438999
3594.435095453253,0.9424537215361166,0.09808745106748787,11264,5272165972.006481
4009.0971260438027,0.9669805406838077,0.08633241158248826,11835,6170802245.872734
3975.587031388245,0.8502047757601887,0.05815448437245316,11502,5636582184.010796
6003.950889927248,0.9454761760557429,0.06685388563986244,12624,8453533430.771481
5791.067398621042,0.7517041110630827,0.1054844165755084,10883,4929725957.27375
4488.156354492078,0.9909307227617237,0.08992848847551041,12103,6787576077.857264
4982.015625564752,0.8725796396423804,0.05098433391427085,12187,7024570137.616905
6990.174171900624,0.883527019321854,0.11373922272817989,12144,7171017867.399033
7742.566820390326,0.9432819725614869,0.055566395763451196,13098,10617509921.983145
7901.631311367566,0.9223818120637273,0.10084132330993476,12675,8842332008.701925
4914.155313136078,0.722682462873892,0.08333959159930636,10504,4462934199.81
3280.4291134970995,0.8728843500943675,0.10476971959092024,10379,4258491162.25593
5403.33310339589,0.8521232239110659,0.07071041403996162,11967,6605901497.996479
3065.188285577744,0.8421204320226889,0.10163939225133438,9980,3893632743.168416
3289.595528770199,0.9543917533987315,0.0683122241434569,11659,5799486244.627348
5225.217894643982,0.8465479475105009,0.06339782749083847,11965,6580855806.216894
3189.433739241789,0.8333433935070548,0.06606686708521632,10731,4600652830.774212
7950.015246303401,0.7255039507994536,0.09878687581481953,11691,6259896046.935862
7108.729712851022,0.860766654625447,0.07520447888504998,12482,8101952808.311953
3221.768649822354,0.8778542497523422,0.10769766887664235,10313,4199735075.5054064
4088.0270589676447,0.7406951752497215,0.09235549611127072,9937,3904597121.8604965
5687.123811346384,0.7393916904205369,0.09055621155159913,10976,5036719693.696066
6200.019938872894,0.7597543556339619,0.0967217683697029,11268,5500102629.089497
6696.1255969752565,0.761539717135588,0.06698945425180344,11925,6645380755.131685
6771.788026352831,0.7274939265356145,0.07927006790436267,11530,5933665339.655523
7046.119940843224,0.7964837943835807,0.058563012919713775,12326,7665976708.282795
4924.197796826076,0.8415325588089133,0.06503988528999276,11803,6209830954.700922
3047.1991231237835,0.8093398913459495,0.059076467308137336,10541,4402732490.596096
3805.8210486440285,0.9349769556163797,0.08074773114261073,11619,5797572285.087418
4262.297684148165,0.7838762814732907,0.09529899606126363,10457,4380364629.191357
7615.213797077425,0.9989283496610286,0.08371814978593817,13018,10225999015.244497
5884.872336306358,0.7098899601072284,0.11892981547748106,10289,4283372830.35443
7957.195930063711,0.7717263263082556,0.0974268508402059,12017,6927011783.381748
6687.535128163803,0.9091787894735015,0.08895128206494113,12438,7941003191.282291
